sent_id,sentence_text,token_form,gold_karaka,corrected_candidates,deprel,case_marker
dev-s171,उन्होंने कहा कि मंत्रियों की समिति न्यायाधीश की राय नहीं लेगी और स्वतंत्र रूप से अपने सुझाव देगी ।,कि,Karma,,mark,
dev-s172,भारद्वाज ने यह घोषणा की कि मंत्रियों की इस समिति की अध्यक्षता रक्षा मंत्री प्रणव मुखर्जी करेंगे ।,यह,Karma,,det,
dev-s174,उल्लेखनीय है कि एनडीए सरकार ने लोकपाल की दिशा में काफी प्रयास किए और तत्कालीन प्रधानमंत्री अटल बिहारी वाजपेयी व उनके कई वरिष्ठ साथियों ने प्रधानमंत्री को भी लोकपाल के दायरे में रखने का प्रयास किया था ।,प्रधानमंत्री,Karma,,nmod,
dev-s177,"लेकिन हम लोगों का मानना है कि राष्ट्रपति, प्रधानमंत्री और मुख्य न्यायाधीश को कम से कम इससे बाहर होना चाहिए ।",कि,Karma,,mark,
dev-s179,भारद्वाज का मानना है कि जजों के बारे में न्यायपालिका किसी जल्दी में नहीं दिखती ।,कि,Karma,,mark,
dev-s180,इसलिए सरकार ने तय किया है कि इस बारे में सभी के लिए समान कानून लाया जाए ।,कि,Karma,,mark,
dev-s184,"भारद्वाज का मानना है कि सीवीसी सीबीआई के निदेशक और प्रवर्तन निदेशालय के निदेशकों की नियुक्ति का अनुमोदन करने का अधिकार रखता है, लेकिन उसके पास उतने कानूनी अधिकार नहीं हैं ।",कि,Karma,,mark,
dev-s184,"भारद्वाज का मानना है कि सीवीसी सीबीआई के निदेशक और प्रवर्तन निदेशालय के निदेशकों की नियुक्ति का अनुमोदन करने का अधिकार रखता है, लेकिन उसके पास उतने कानूनी अधिकार नहीं हैं ।",अधिकार,Karma,,compound,
dev-s186,भारद्वाज का कहना है कि वह व्यापक लोकपाल विधेयक के जरिए इसे संपूर्ण बनाना चाहते हैं जिसमें आम लोग भी प्रशासनिक स्तर पर अपने काम रुकने या भ्रष्टाचार की शिकायतें कर सकें ।,कि,Karma,,mark,
dev-s189,प्राधिकरण ने इसके लिए १३ जनवरी तक दोनों पक्षों से जवाब देने को कहा है ।,पक्षों,Karma,Karaṇa|Apādāna,obl,से
dev-s190,ट्राई को कई शिकायतें मिली थी कि दूरसंचार सेवा उपलब्ध कराने वाली कंपनियां टाटा टेलीसर्विस और रिलायंस इंफोकॉम अपने फिक्सड वायरलेस फोन सेवा का इस तरह से प्रचार कर रही हैं कि इन सेवाओं के मोबाइल के समान होने का भ्रम होता है ।,कि,Karma,,mark,
dev-s192,गौरतलब है कि लोकल फिक्सड फोन पर एडीसी नहीं देनी पड़ती है ।,एडीसी,Karma,Kartā,nsubj,
dev-s199,"भारतीय सुरक्षा एजेंसियों ने यह चेतावनी जारी करते हुए कहा कि नए मोबाइल फोन पर वायरस से आने वाली ऐसी कॉल, हैंडसेट को क्षति पहुंचा सकती हैं ।",कि,Karma,,mark,
dev-s200,सूत्रों का कहना है कि मोबाइल फोन उपभोक्ताओं को १२ अंकों वाली कॉल भी नहीं लेनी चाहिए ।,कि,Karma,,mark,
dev-s204,दूसरी ओर आडवाणी पर बयान वापस लेने का दबाव डालने वाले राष्ट्रीय स्वयं सेवक संघ ने उनके भाजपा अध्यक्ष पद से इस्तीफे को पार्टी का अंदरूनी मामला करार दिया ।,दबाव,Karma,,compound,
dev-s205,उन्होंने आरोप लगाया कि आडवाणी ने जो कुछ कहा उसके गलत अर्थ निकाले गए हैं ।,कि,Karma,,mark,
dev-s206,"जिन्ना को पाकिस्तान का जनक बताते हुए वाजपेयी ने कहा कि कायदे आजम चाहते थे कि भारत और पाकिस्तान के लोग सद्भावना से रहें, लेकिन पाकिस्तान के नेताओं ने उनका समर्थन नहीं किया ।",कि,Karma,,mark,
dev-s206,"जिन्ना को पाकिस्तान का जनक बताते हुए वाजपेयी ने कहा कि कायदे आजम चाहते थे कि भारत और पाकिस्तान के लोग सद्भावना से रहें, लेकिन पाकिस्तान के नेताओं ने उनका समर्थन नहीं किया ।",कि,Karma,,mark,
dev-s3,"बौद्ध धर्मावलंबियों के अनुसार लुंबनी, बोधगया और सारनाथ के साथ ही इस स्‍थान का विशद् महत्‍व है ।",महत्‍व,Karta,,root,
dev-s4,"हिंदू राजाओं के काल में चीन से ह्वेन सांग, फाह्यान और इत्‍सिंग ने अपने यात्रा वृत्तांत में इस स्‍थान के गौरव का वर्णन किया है ।",और,Karta,,cc,
dev-s13,"यह मंदिर उसी स्‍थान पर बनाया गया है, जहाँ से यह मूर्ति निकाली गई थी ।",मंदिर,Karta,Karma,obj,
dev-s13,"यह मंदिर उसी स्‍थान पर बनाया गया है, जहाँ से यह मूर्ति निकाली गई थी ।",मूर्ति,Karta,Karma,obj,
dev-s14,मंदिर के पूर्व हिस्‍से में एक स्‍तूप है ।,स्‍तूप,Karta,,root,
dev-s18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,भिक्षु,Karta,,xcomp,
dev-s18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,और,Karta,,cc,
dev-s18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,जो,Karta,,nsubj:pass,
dev-s19,"मंदिर परिसर से लगा काफी बड़ा सा पार्क है, जहाँ पर्यटकों का जमावड़ा लगा रहता है ।",पार्क,Karta,,root,
dev-s20,वैसे इस पूरे परिसर में अलौकिक शांति का वातावरण है ।,वातावरण,Karta,,root,
dev-s21,महापरिनिर्वाण मंदिर से कुछ दूर आगे माथा कुँवर का मंदिर है ।,मंदिर,Karta,,nmod,से
dev-s22,इसके स्‍थानीय लोगों में भगवान विष्‍णु के अवतार होने की मान्‍यता भी प्रचलित है ।,अवतार,Karta,,compound,
dev-s32,हालाँकि स्‍थानीय वाशिंदों में यह रामाभार स्‍तूप के नाम से ही आज भी जाना जाता है ।,यह,Karta,Karma,obj,
dev-s33,महापरिनिर्वाण मंदिर के उत्तर में मौजूद जापानी मंदिर अपने विशिष्‍ट वास्‍तु के लिए प्रसिद्ध है ।,मंदिर,Karta,,nmod,के
dev-s34,अर्द्धगोलाकर इस मंदिर में भगवान बुद्ध की अष्‍टधातु की मूर्ति है ।,मूर्ति,Karta,,root,
dev-s36,"मंदिर के चार बड़े - बड़े द्वार हैं, जो सभी दिशाओं की ओर बनाए गए हैं ।",द्वार,Karta,,root,
dev-s36,"मंदिर के चार बड़े - बड़े द्वार हैं, जो सभी दिशाओं की ओर बनाए गए हैं ।",जो,Karta,,nsubj:pass,
dev-s38,जापानी मंदिर के ठीक सामने संग्रहालय है ।,संग्रहालय,Karta,,root,
dev-s41,मंदिर में थाई शैली की भगवान बुद्ध की अष्‍टधातु की मूर्ति है ।,मूर्ति,Karta,,root,
dev-s48,सफेद पत्‍थरों से बने इस मंदिर के दो तल हैं ।,तल,Karta,,root,
dev-s49,इस मंदिर में थाई शैली की भगवान बुद्ध की अष्‍टधातु की मूर्ति है ।,मूर्ति,Karta,,root,
dev-s56,कुशीनगर के विस्‍तार के साथ ही यहाँ पर सबसे अधिक बनाए गए मंदिरों में से एक चीनी मंदिर है ।,मंदिर,Karta,,root,
dev-s59,मंदिर के बाहर सुंदर फव्वारा है ।,फव्वारा,Karta,,root,
dev-s60,महापरिनिर्वाण मंदिर से पहले बीच तालाब में बना भगवान बुद्ध का मंदिर और इसके सामने बना विशाल पगोडा पर्यटकों के आकर्षण का केंद्र है ।,और,Karta,,cc,
dev-s65,दक्षिण भारतीय शैली में बने इस मंदिर में शिव की ध्‍यान मुद्रा में सफेद संगमरमर की मूर्ति है ।,मूर्ति,Karta,,root,
dev-s66,इसके बगल में ही बिरला धर्मशाला है ।,धर्मशाला,Karta,,root,
dev-s69,यहाँ पहुँचने के लिए सबसे नजदीकी रेलवे स्‍टेशन गोरखपुर रेलवे जंक्‍शन है ।,स्‍टेशन,Karta,,nmod,
dev-s76,"यहाँ लोटस, निक्‍को होटल, होटल रेसीडेंसी और पथिक निवास में ठहरने के लिए बेहतर होगा कि पहले से बुकिंग करवा ली जाए ।",कि,Karta,,mark,
dev-s79,इसमें बिरला धर्मशाला और बुद्ध धर्मशाला प्रमुख हैं ।,और,Karta,,cc,
dev-s80,इसके अलावा अलग - अलग देशों के मंदिरों की धर्मशाला भी हैं ।,धर्मशाला,Karta,,root,
dev-s81,बौद्ध भिक्षुओं के लिए कुछ मंदिरों में विहार की व्‍यवस्‍था है ।,व्‍यवस्‍था,Karta,,root,
dev-s83,"प्रागैतिहासिक काल से ऋषि - मुनियों और साधक, परिव्राजकों को यह आकर्षित करता आ रहा है ।",यह,Karta,Karma,obj,
dev-s87,बर्फ के पास ही अत्यंत मादक सुगंध वाले सिरंगा पुष्पकुंज मिलने लगते हैं ।,पुष्पकुंज,Karta,Adhikaraṇa|Apādāna|Karaṇa,obl,
dev-s88,इनके समाप्त होने पर हरी बुग्याल 'दूब' मिलती है ।,इनके,Karta,,nmod,
dev-s89,इसके पश्चात केदारनाथ का हिमनद और उससे निकलने वाली मंदाकिनी अपने में असंख्य पाषाण खंडों को फोड़कर निकले झरनों और फव्वारों के जल को समेटे उद्दाम गति से प्रवाहित होती दिखाई देती है ।,और,Karta,,cc,
dev-s89,इसके पश्चात केदारनाथ का हिमनद और उससे निकलने वाली मंदाकिनी अपने में असंख्य पाषाण खंडों को फोड़कर निकले झरनों और फव्वारों के जल को समेटे उद्दाम गति से प्रवाहित होती दिखाई देती है ।,होती,Karta,,advcl,
dev-s90,"इन सबके ऊपर केदारनाथ का 6 हजार 940 मीटर ऊँचा हिमशिखर ऐसा दिखाई देता है, मानो स्वर्ग में रहने वाले देवताओं का मृत्युलोक को झाँकने का यह झरोखा हो ।",यह,Karta,,det,
dev-s91,"ऋषिकेश से केदारनाथ की दूरी 223 किमी है, जिसमें अंतिम दस किमी का अंश जो गौरीकुंड से केदारनाथ है वह पैदल, घोड़े या पालकी से जाना पड़ता है ।",अंश,Karta,,nmod,
dev-s93,ये शिलाखंड भूरे रंग के हैं ।,शिलाखंड,Karta,,root,
dev-s95,"मंदिर के गर्भगृह में अर्धा के पास चारों कोनों पर चार सुदृढ़ पाषाण स्तंभ हैं, जहाँ से होकर प्रदक्षिणा होती है ।",स्तंभ,Karta,,root,
dev-s95,"मंदिर के गर्भगृह में अर्धा के पास चारों कोनों पर चार सुदृढ़ पाषाण स्तंभ हैं, जहाँ से होकर प्रदक्षिणा होती है ।",प्रदक्षिणा,Karta,,compound,
dev-s99,"गवाक्षों में आठ पुरुष प्रमाण मूर्तियाँ हैं, जो अत्यंत कलात्मक हैं ।",मूर्तियाँ,Karta,,root,
dev-s100,मंदिर के पीछे पत्थरों के ढेर के पास भगवान ईशान का मंदिर है ।,मंदिर,Karta,,root,
dev-s101,इस ढेर के पीछे शंकराचार्य का समाधि स्थल है ।,स्थल,Karta,,root,
dev-s112,पाकिस्तान की नीति में अस्थिरता है ।,अस्थिरता,Karta,,root,
dev-s117,उन्होंने यह भी कहा कि तब तत्कालीन भारतीय प्रधानमंत्री अटल बिहारी वाजपेयी ने खुद अपनी मर्जी से लाहौर की यात्रा की थी और लाहौर घोषणा पर हस्ताक्षर हुआ था ।,हस्ताक्षर,Karta,,compound,
dev-s118,इसमें कश्मीर समस्या का भी जिक्र था ।,जिक्र,Karta,,root,
dev-s129,"यह पहला मौका है, जब समारोह की अध्यक्षता के लिए जयेंद्र सरस्वती उपस्थित नहीं थे ।",मौका,Karta,,root,
dev-s132,"परमाचार्य के दिसंबर १९९३ में मुक्ति प्राप्त करने के बाद से हर वर्ष आराधना समारोह आयोजित किया जाता है, जिसमें बड़ी संख्या में श्रद्धालु हिस्सा लेते हैं ।",परमाचार्य,Karta,,nmod,के
dev-s133,"हालांकि इस बार जयेंद्र सरस्वती की गैरमौजूदगी मौके पर मौजूद विशिष्ट व्यक्तियों के बीच चर्चा का विषय जरूर रही, लेकिन देश भर से आने वाले श्रद्धालुओं की संख्या में कोई कमी नहीं देखी गई ।",कमी,Karta,Karma,obj,
dev-s28,भगवान बुद्ध के महापरिनिर्वाण के बाद 16 महाजनपदों में उनकी अस्‍थियों और भस्‍म को बाँट दिया गया ।,और,Sampradana,,cc,
dev-s166,"कानून व न्याय मंत्री हंसराज भारद्वाज के मुताबिक सरकार कार्यपालिका, न्यायपालिका और विधायिका को लोकपाल के जरिए ज्यादा कार्यक्षम व बेदाग बनाना चाहती है ।",और,Sampradana,,cc,
dev-s167,जेएमएम प्रकरण के बाद संसद सदस्यों व निर्वाचित प्रतिनिधियों को लोक सेवक करार दिया जा चुका है और उनसे उसी किस्म की ईमानदारी की उम्मीद की जाती है ।,व,Sampradana,,cc,
dev-s248,अदालत ने कहा कि ऐसे लोग अपना जीवन ईश्वर और मानवता को समर्पित कर देते है ।,और,Sampradana,,cc,
dev-s255,मेरे जैसे दूसरे पादरी और ननों को भी वकालत के पेशे से जुड़ने का मौका मिलेगा ।,और,Sampradana,,cc,
dev-s272,"हालांकि, नटवर सिंह की दलील थी कि उन्होंने संयुक्त राष्ट्र में भारत के राजदूत निरुपम सेन से कई बार बात की है ।",सेन,Sampradana,Karma,obj,से
dev-s278,जरूरत पड़ने पर नटवर सिंह से भी पूछताछ की जा सकती है ।,सिंह,Sampradana,Karma,obj,से
dev-s283,हालांकि ईडी और आयकर विभाग ने अंदलीब से रविवार को ८ घंटे तक पूछताछ की थी लेकिन अंदलीब ने इस नोटिस के जवाब में खुद को पेश किया ।,अंदलीब,Sampradana,Karma,obj,से
dev-s338,ब्रिगेडियर सिंह ने सुब्रह्मण्यम समिति की रिपोर्ट की किसी निवर्तमान जज से जांच कराने की मांग की है ।,जज,Sampradana,Karaṇa|Apādāna,obl,से
dev-s367,हालांकि चर्चाएं तो ये भी थीं कि मुख्यमंत्री व पीसीसी चीफ वढ़ेरा दंपत्ति को भोज की दावत दे सकते हैं ।,दंपत्ति,Sampradana,,conj,को
dev-s428,अनिल ने पाटिल को लिख कर कहा कि विश्वस्त सूत्रों से उन्हें पता चला है कि इस आपराधिक कृत्य के पीछे सारा दिमाग रिलायंस इंफोकॉम के एक निदेशक का है ।,उन्हें,Sampradana,Kartā,nsubj,
dev-s458,करीब 11 बजे दमकल विभाग तथा पुलिस नियंत्रण कक्ष को आग लगने की सूचना दी गई ।,तथा,Sampradana,,cc,
dev-s468,हालांकि अब तक भाजपा व एनडीए नेतृत्व की ओर से कांग्रेस के इस तर्क को कोई समर्थन नहीं मिला है कि सदनों के प्रमुखों के चार पदों में से कम से कम एक पद सत्ताधारी दल को मिलना चाहिए ।,तर्क,Sampradana,Kartā,nsubj,को
dev-s469,भाजपा की नेता सुषमा स्वराज ने इस तर्क को खारिज करते हुए कहा कि भैंरो सिंह शेखावत उपराष्ट्रपति हैं और उन्हें किसी दल का व्यक्ति नहीं माना जा सकता ।,उन्हें,Sampradana,Karma,obj,
dev-s474,कांग्रेस का तर्क यह भी है कि लोकसभा उपाध्यक्ष का पद परंपरा के मुताबिक विपक्ष को प्रस्तावित था और एनडीए ने अकाली दल को यह पद दे दिया ।,विपक्ष,Sampradana,Kartā,nsubj,को
dev-s492,सृष्टि के पिता ने बताया कि भारत - पाक संबंधों में पुल का काम करने वाली क्रिकेट सीरीज से प्रसन्न पाकिस्तान के राष्ट्रपति ने सृष्टि को भेजे गए पत्र में उसकी बुद्धिमत्ता की जमकर तारीफ की है ।,सृष्टि,Sampradana,,nmod,के
dev-s505,वहीं पाकिस्तान के खिलाफ पिछली वन - डे सिरीज में टीम से बाहर रहे स्पिनर अनिल कुंबले व हरभजन सिंह को टीम में स्थान मिला है ।,व,Sampradana,,cc,
dev-s584,बताया जाता है कि दिल्ली के सिनेमा घरों में हुए विस्फोटों के एक आरोपी को नवांशहर से धरने के बाद दिल्ली पुलिस को उससे पूछ - ताछ में हवारा और उसके साथी के ठिकाने के बारे में पता लगा ।,पुलिस,Sampradana,Kartā,nsubj,को
dev-s585,पूछ - ताछ में दिल्ली पुलिस को पता लगा कि हवारा और उसका साथी पटियाला की पंजाब यूनीवर्सिटी में कुछ लोगों से मिलने गया है ।,पुलिस,Sampradana,Kartā,nsubj,को
dev-s690,"केंद्र की सलाह को स्वीकार करते हुए जस्टिस वाई. के. सब्बरवाल, जस्टिस के. जी. बालकृष्ण, जस्टिस बी. एन. अग्रवाल, जस्टिस अशोक भान और जस्टिस अजित पसायत की खंडपीठ ने संविधान के अनुच्छेद ३६१ के तहत अदालती कार्यवाही के मामले में राज्यपाल को प्राप्त विशेषाधिकार का हवाला देते हुए कहा कि अदालत राज्यपाल को नोटिस जारी नहीं करेगी ।",राज्यपाल,Sampradana,Adhikaraṇa|Apādāna|Karaṇa,obl,को
dev-s694,"लेकिन जवाब से संतुष्ट नहीं होने पर अदालत ने अटॅर्नी जनरल मिलन बनर्जी, एडिशनल सॉलीसिटर जनरल गोपाल सुब्रह्मण्यम् और पूर्व अटॅर्नी जनरल सोली जे. सोराबजी से राय ली ।",और,Sampradana,,cc,
dev-s717,इसके चलते सरकार को कार कंपनियों से मिलने वाले राजस्व में ३८ फीसदी का नुकसान हुआ ।,सरकार,Sampradana,Kartā,nsubj,को
dev-s740,इससे पहले पिछले महीने दारुल उलूम देवबंद ने २८ वर्षीय पांच बच्चों की माँ से उसके ससुर के बलात्कार करने पर महिला को अपने पति के साथ नहीं रहने का फरमान सुनाया था ।,माँ,Sampradana,Karma,obj,से
dev-s744,इस अवसर पर आयोजित समारोह को संबोधित करते हुए सिंह ने कहा कि लोकतंत्र और कानून के शासन में आस्था रखने वालों को चाहिए कि वे मिलकर आतंकवाद का मुकाबला करें ।,रखने,Sampradana,Kartā,nsubj,
dev-s781,नानावटी रिपोर्ट में केंद्रीय वाणिज्य मंत्री कमलनाथ और कांग्रेस के वरिष्ठ नेता वसंत साठे को १९८४ के दंगों के मामले में क्लीन चिट दी गई है ।,और,Sampradana,,cc,
dev-s807,"दिल्ली पुलिस के सूत्रों के मुताबिक, मुठभेड़ में मारे गए पटना के आतंकी शख्स की डायरी में इफ्तखार के देहरादून स्थित बैंक खाते का नंबर का उल्लेख है, जिससे संदेह है कि इफ्तखार को आतंकी आर्थिक मदद भी दे रहे थे ।",इफ्तखार,Sampradana,,nmod,के
dev-s810,शख्स ने उसे प्रतिबंधित संगठन स्टूडेंट इस्लामिक मूवमेंट ऑफ इंडिया (सिमी) के लिए काम करने के लिए उकसाया ।,उसे,Sampradana,Karma,obj,
dev-s923,मैं उनके नेताओं से बातचीत करूंगा ।,नेताओं,Sampradana,Karma,obj,से
dev-s933,जो परंपराएं इन्हें बाहर की दुनिया से अलग पहचान देती हैं ।,इन्हें,Sampradana,Karma,obj,
dev-s1013,वित्त मंत्री ने सरकार की पुनर्गठन नीति पर रोशनी डालते हुए हिंदुस्तान एंटीबायोटिक्स लिमिटेड और इंडियन टेलीफोन इंडस्ट्री (आईटीआई) को एक पैकेज देने की घोषणा की है ।,और,Sampradana,,cc,
dev-s1018,उन्होंने कहा है कि कृषि और औद्योगिक क्षेत्र को बढ़ावा देकर विकास की गति बढ़ाने पर जोर दिया गया है ।,और,Sampradana,,cc,
dev-s1092,पूरा देश इस समय दैवी आपदा से जूझ रहा है और दुख की बात है कि सरकार का जिम्मेदार मीडिया ही अफवाह फैलाकर लोगों को गुमराह करने में लगा है ।,देश,Sampradana,Kartā,nsubj,
dev-s1099,उनके समर्थकों ने दूसरी महिला से संबंध रखने के आरोप में उन्हें इस्तीफा देने के लिए मजबूर कर दिया था ।,महिला,Sampradana,Karaṇa|Apādāna,obl,से
dev-s1111,गौरतलब है कि श्रीलंका की सुनामी पुनर्निर्माण परियोजना में भारत श्रीलंका को महत्वपूर्ण रूप से मदद प्रदान कर रहा है ।,श्रीलंका,Sampradana,,nmod,की
dev-s1144,भारत और पाकिस्तान के बीच आपसी विश्वास बढ़ाने की प्रक्रिया के तहत पाकिस्तान ने भारत से जम्मू कश्मीर में सैनिकों की कटौती करने के लिए कहा है ।,भारत,Sampradana,Adhikaraṇa|Apādāna|Karaṇa,obl,के
dev-s1214,लेकिन विशेषज्ञ मानते हैं कि नेपाल में लोकतंत्र नहीं होने के बावजूद परिषद का गठन तो होगा लेकिन उसे काम नहीं करने दिया जाएगा ।,उसे,Sampradana,Karma,obj,
dev-s1224,इस मौके पर एअर मार्शल मलिक ने वायुसैनिकों से बेहतर अभ्यास कर भारतीय वायु सेना की प्रतिष्ठा बढ़ाने का आह्वान किया ।,वायुसैनिकों,Sampradana,Karaṇa|Apādāna,obl,से
dev-s1250,तब उसी यूनीवर्सिटी ने उनसे डिग्री स्वीकार करने का अनुरोध किया ।,उनसे,Sampradana,Adhikaraṇa|Apādāna|Karaṇa,obl,
dev-s1317,तृणमूल कांग्रेस की अध्यक्ष ममता बनर्जी ने चुनाव आयोग से आज मार्क्सवादी कम्युनिस्ट पार्टी के खिलाफ स्थानीय निकायों और विधानसभा चुनावों में धांधली करने की शिकायत की ।,आयोग,Sampradana,Karma,obj,से
dev-s1348,उन्होंने ठहाकों के बीच कहा कि मुझे मौका देते रहेंगे तो सदन ठीक चलता रहेगा ।,मुझे,Sampradana,Kartā,nsubj,
dev-s1357,वह इसके खिलाफ कड़े कदम उठाएंगे ।,इसके,Sampradana,Adhikaraṇa|Apādāna|Karaṇa,obl,खिलाफ
dev-s1395,"बुश ने कहा था कि वह कश्मीर मुद्दे पर मध्यस्थता नहीं करेंगे, लेकिन समस्या के हल के लिए दोनों देशों को लगातार प्रोत्साहित करते रहेंगे ।",देशों,Sampradana,Kartā,nsubj,को
dev-s1436,जंग अखबार से बातचीत करते हुए मुशर्रफ ने कहा कि भारत - पाक रिश्ते में अपेक्षित सुधार के लिए कश्मीर समस्या का समाधान जरूरी है ।,अखबार,Sampradana,Karma,obj,से
dev-s1442,मुशर्रफ ने कहा कि मैंने भारत के इस दोहरे रवैये के बारे में भारतीय विदेश मंत्री नटवर सिंह से शिकायत की थी ।,सिंह,Sampradana,Karma,obj,से
dev-s1473,"यह पूछे जाने पर कि क्या उनकी सरकार को गिराने का संदेह है, यादव ने कहा कि उन्हें हटाना आसान काम नहीं है ।",उन्हें,Sampradana,Karma,obj,
dev-s1501,आतंकियों द्वारा किसी विमान के अपहरण या आत्मघाती हमले को अंजाम देने की कोशिश किए जाने की खुफिया जानकारी पर देश भर के हवाई अड्डों पर सुरक्षा व्यवस्था कड़ी कर दी गई है ।,या,Sampradana,,cc,
dev-s1548,इस प्रस्ताव में जिस तरह से भाजपा ने जिन्ना को हिंदू - मुस्लिम धर्म के आधार पर भारत पाकिस्तान विभाजन का जिम्मेदार ठहराया है उससे संघ की विचारधारा की जीत हुई है पर विहिप को निराशा ही हाथ लगी है ।,विहिप,Sampradana,Kartā,nsubj,को
dev-s1563,कर्मचारी अब 300 रुपये प्रतिमाह परिवहन भत्ता पाएंगे ।,कर्मचारी,Sampradana,Kartā,nsubj,
dev-s1569,"लेकिन, अब वे 5,000 रुपये ले सकते हैं जिसे कर्मचारियों द्वारा विभाग को दस आसान किश्तों में वापस लौटाना होगा ।",विभाग,Sampradana,Kartā,nsubj,को
dev-s1585,उन्होंने केंद्रीय सतर्कता आयुक्त (सीवीसी) से मामले की जाँच कराने की माँग की है ।,आयुक्त,Sampradana,Karma,obj,
